acc,batch_size,dropout,epochs,last_activation,learning_rate,loss,loss.1,optimizer,round_epochs,val_acc,val_loss
0.98055,300,0.3,50,softmax,0.01,0.06051384027116,categorical_crossentropy,SGD,50,0.9799,0.07365971178514882
0.97885,300,0.3,50,softmax,0.01,0.06518175991252065,categorical_crossentropy,SGD,50,0.9794,0.06754738476127388
0.98501664,200,0.2,50,softmax,0.01,0.04607392889757951,categorical_crossentropy,SGD,50,0.9783,0.09132947683334353
0.98578334,200,0.2,50,softmax,0.01,0.044317675449031715,categorical_crossentropy,SGD,50,0.9805,0.07982425322756173
0.98511666,200,0.2,50,softmax,0.01,0.047012221723174055,categorical_crossentropy,SGD,50,0.9845,0.07031270001083613
0.9866,200,0.2,50,softmax,0.01,0.044090519049204885,categorical_crossentropy,SGD,50,0.9793,0.09253738347440958
0.9856666999999999,200,0.2,50,softmax,0.01,0.04576869122684002,categorical_crossentropy,SGD,50,0.9801,0.07521927703171967
0.9856666999999999,200,0.2,50,softmax,0.01,0.046584463654241216,categorical_crossentropy,SGD,50,0.977,0.08180584132671356
0.9866666999999999,200,0.2,50,softmax,0.01,0.04191533427297448,categorical_crossentropy,SGD,50,0.9806,0.07678591074422003
0.9856166999999999,200,0.2,50,softmax,0.01,0.045148922065272934,categorical_crossentropy,SGD,50,0.9806,0.07460936117917301
0.98621666,200,0.2,50,softmax,0.01,0.04420488509271914,categorical_crossentropy,SGD,50,0.9813,0.0789952827244997
0.98576665,200,0.2,50,softmax,0.01,0.044070160794071854,categorical_crossentropy,SGD,50,0.9798,0.08854531588032842
0.9804,200,0.3,50,softmax,0.01,0.06306241339383026,categorical_crossentropy,SGD,50,0.9803,0.0715897347778082
0.97868335,200,0.3,50,softmax,0.01,0.06739021760722001,categorical_crossentropy,SGD,50,0.9756,0.07980546612292529
0.97941667,200,0.3,50,softmax,0.01,0.06295423737106222,categorical_crossentropy,SGD,50,0.9821,0.06868522498756648
0.98055,200,0.3,50,softmax,0.01,0.06176302205771207,categorical_crossentropy,SGD,50,0.9805,0.07184567688032985
0.97905,200,0.3,50,softmax,0.01,0.06558290518509845,categorical_crossentropy,SGD,50,0.9783,0.08714364137500524
0.9792,200,0.3,50,softmax,0.01,0.0636506524682045,categorical_crossentropy,SGD,50,0.9787,0.07078826759010554
0.9799167,200,0.3,50,softmax,0.01,0.06437938267675539,categorical_crossentropy,SGD,50,0.9818,0.07472146586515009
0.98008335,200,0.3,50,softmax,0.01,0.0622065805659319,categorical_crossentropy,SGD,50,0.9806,0.06824797509238124
0.98118335,200,0.3,50,softmax,0.01,0.06224303234058123,categorical_crossentropy,SGD,50,0.9806,0.06713702900335193
0.97896665,200,0.3,50,softmax,0.01,0.06543437336261074,categorical_crossentropy,SGD,50,0.9793,0.07005035541951657
0.98588336,300,0.2,50,softmax,0.01,0.0433363493764773,categorical_crossentropy,SGD,50,0.9811,0.07035162599757314
0.98725,300,0.2,50,softmax,0.01,0.04171636052662506,categorical_crossentropy,SGD,50,0.9803,0.07657153079286218
0.9867667,300,0.2,50,softmax,0.01,0.04075428104028106,categorical_crossentropy,SGD,50,0.9802,0.08272857261821627
0.98595,300,0.2,50,softmax,0.01,0.043776709637604654,categorical_crossentropy,SGD,50,0.9816,0.07188626240938903
0.98571664,300,0.2,50,softmax,0.01,0.04313922140747309,categorical_crossentropy,SGD,50,0.9827,0.07447722836397587
0.98663336,300,0.2,50,softmax,0.01,0.040466723386198285,categorical_crossentropy,SGD,50,0.9792,0.0863542877137661
0.98733336,300,0.2,50,softmax,0.01,0.040963226240128284,categorical_crossentropy,SGD,50,0.9808,0.07800749162212015
0.98725,300,0.2,50,softmax,0.01,0.039715750329196456,categorical_crossentropy,SGD,50,0.9811,0.08892164513468742
0.98655,300,0.2,50,softmax,0.01,0.04072487876052037,categorical_crossentropy,SGD,50,0.981,0.07267930999398231
0.98656666,300,0.2,50,softmax,0.01,0.04323982368689031,categorical_crossentropy,SGD,50,0.9804,0.06868414297699928
0.98155,300,0.3,50,softmax,0.01,0.05784669318702072,categorical_crossentropy,SGD,50,0.9827,0.07156446309760213
0.9799833,300,0.3,50,softmax,0.01,0.06263748532161116,categorical_crossentropy,SGD,50,0.9815,0.06559212159365416
0.98075,300,0.3,50,softmax,0.01,0.06117761767469345,categorical_crossentropy,SGD,50,0.9805,0.07226875176653266
0.9806,300,0.3,50,softmax,0.01,0.06269795312546192,categorical_crossentropy,SGD,50,0.9815,0.07077152141369879
0.9809833,300,0.3,50,softmax,0.01,0.06082959074527025,categorical_crossentropy,SGD,50,0.9790000000000001,0.07635617731139062
0.9812,300,0.3,50,softmax,0.01,0.05950090296566486,categorical_crossentropy,SGD,50,0.9798,0.06686145128682255
0.9794666999999999,300,0.3,50,softmax,0.01,0.06194512280635536,categorical_crossentropy,SGD,50,0.982,0.06286904564127327
0.98013335,300,0.3,50,softmax,0.01,0.06288326447829604,categorical_crossentropy,SGD,50,0.9816,0.06355314910411834
0.98043334,300,0.3,50,softmax,0.01,0.06023603008128702,categorical_crossentropy,SGD,50,0.9819,0.06352181367576122
0.9799333,300,0.3,50,softmax,0.01,0.0631418573576957,categorical_crossentropy,SGD,50,0.9786,0.07793944049626589
0.98511666,200,0.2,50,softmax,0.01,0.045633513368666175,categorical_crossentropy,SGD,50,0.9781,0.07788965594023466
0.98541665,200,0.2,50,softmax,0.01,0.04686075516355535,categorical_crossentropy,SGD,50,0.9809,0.08107685418799519
0.98513335,200,0.2,50,softmax,0.01,0.047862935351828735,categorical_crossentropy,SGD,50,0.9797,0.0749753824993968
0.98583335,200,0.2,50,softmax,0.01,0.04545197237205381,categorical_crossentropy,SGD,50,0.9804,0.0755856966227293
0.98585,200,0.2,50,softmax,0.01,0.04465248645438502,categorical_crossentropy,SGD,50,0.9776,0.0879482489824295
0.9854,200,0.2,50,softmax,0.01,0.045048178547682866,categorical_crossentropy,SGD,50,0.9806,0.07574915776029227
0.9862666999999999,200,0.2,50,softmax,0.01,0.04429914400136719,categorical_crossentropy,SGD,50,0.982,0.07106026019901038
0.98613334,200,0.2,50,softmax,0.01,0.04506387526169419,categorical_crossentropy,SGD,50,0.9811,0.0770280453749001
0.9858,200,0.2,50,softmax,0.01,0.04478928168925146,categorical_crossentropy,SGD,50,0.9785,0.08713987270370126
0.98583335,200,0.2,50,softmax,0.01,0.044050392098724835,categorical_crossentropy,SGD,50,0.9790000000000001,0.07170053355395795
0.9791667,200,0.3,50,softmax,0.01,0.06648142479049662,categorical_crossentropy,SGD,50,0.9816,0.06263386635109783
0.9795666999999999,200,0.3,50,softmax,0.01,0.06661637036750714,categorical_crossentropy,SGD,50,0.9787,0.074023526776582
0.9784833000000001,200,0.3,50,softmax,0.01,0.06724513406554858,categorical_crossentropy,SGD,50,0.9797,0.08286390388384461
0.98011667,200,0.3,50,softmax,0.01,0.06353680587684114,categorical_crossentropy,SGD,50,0.9828,0.07133157666772602
0.98,200,0.3,50,softmax,0.01,0.06565440606015424,categorical_crossentropy,SGD,50,0.9817,0.06697836481034755
0.98031664,200,0.3,50,softmax,0.01,0.0611389279862245,categorical_crossentropy,SGD,50,0.981,0.07400368642061947
0.97845,200,0.3,50,softmax,0.01,0.06843425298109651,categorical_crossentropy,SGD,50,0.9809,0.07087116456357763
0.9799333,200,0.3,50,softmax,0.01,0.06594980956365665,categorical_crossentropy,SGD,50,0.9818,0.06610428571701049
0.97865,200,0.3,50,softmax,0.01,0.06448609364839891,categorical_crossentropy,SGD,50,0.9813,0.07263942012097686
0.98076665,200,0.3,50,softmax,0.01,0.0607058725397413,categorical_crossentropy,SGD,50,0.981,0.0669344063475728
0.98625,300,0.2,50,softmax,0.01,0.04150102366227657,categorical_crossentropy,SGD,50,0.9828,0.07630663012620062
0.9863666999999999,300,0.2,50,softmax,0.01,0.04194708529859782,categorical_crossentropy,SGD,50,0.9814,0.07625006174668669
0.9856166999999999,300,0.2,50,softmax,0.01,0.045157621717080466,categorical_crossentropy,SGD,50,0.9808,0.07659181294962764
0.98615,300,0.2,50,softmax,0.01,0.04306965434225276,categorical_crossentropy,SGD,50,0.9812,0.06765652526170016
0.98683333,300,0.2,50,softmax,0.01,0.0414018564124126,categorical_crossentropy,SGD,50,0.9788,0.07924514463171363
0.9859667,300,0.2,50,softmax,0.01,0.0438619336206466,categorical_crossentropy,SGD,50,0.9793,0.08526695393025875
0.98621666,300,0.2,50,softmax,0.01,0.04208839607192203,categorical_crossentropy,SGD,50,0.9801,0.08657142607495187
0.9854,300,0.2,50,softmax,0.01,0.04376689111581072,categorical_crossentropy,SGD,50,0.9779,0.08907287621870638
0.9865,300,0.2,50,softmax,0.01,0.04194446422625333,categorical_crossentropy,SGD,50,0.9797,0.08160549879074097
0.98615,300,0.2,50,softmax,0.01,0.04162798387464136,categorical_crossentropy,SGD,50,0.9799,0.07203934822231531
0.9805833,300,0.3,50,softmax,0.01,0.058887410443276174,categorical_crossentropy,SGD,50,0.9793,0.0709882637532428
0.98046666,300,0.3,50,softmax,0.01,0.06164172987919301,categorical_crossentropy,SGD,50,0.981,0.06713507095351816
0.9808,300,0.3,50,softmax,0.01,0.059203435238450765,categorical_crossentropy,SGD,50,0.9797,0.06556938566267491
0.9799833,300,0.3,50,softmax,0.01,0.06410133843775839,categorical_crossentropy,SGD,50,0.9795,0.07365308677777647
0.9806333,300,0.3,50,softmax,0.01,0.060520513341762124,categorical_crossentropy,SGD,50,0.9825,0.06187699440866709
0.98015,300,0.3,50,softmax,0.01,0.062266243938356634,categorical_crossentropy,SGD,50,0.9784,0.0776827889867127
0.9806166999999999,300,0.3,50,softmax,0.01,0.06082304496318103,categorical_crossentropy,SGD,50,0.9808,0.06665399657562375
0.98038334,300,0.3,50,softmax,0.01,0.059386514155194164,categorical_crossentropy,SGD,50,0.9802,0.07513238886371255
0.98025,300,0.3,50,softmax,0.01,0.06292231488507241,categorical_crossentropy,SGD,50,0.9818,0.06763896489515901
0.9794833000000001,300,0.3,50,softmax,0.01,0.06210253782570362,categorical_crossentropy,SGD,50,0.9787,0.07433313408866525
0.98565,200,0.2,50,softmax,0.01,0.04480321424547583,categorical_crossentropy,SGD,50,0.9812,0.08447428148239851
0.9859833,200,0.2,50,softmax,0.01,0.04555782317339132,categorical_crossentropy,SGD,50,0.9799,0.07767736121080816
0.98543334,200,0.2,50,softmax,0.01,0.04521541439617673,categorical_crossentropy,SGD,50,0.9797,0.07854766119271518
0.98691666,200,0.2,50,softmax,0.01,0.04263433972063164,categorical_crossentropy,SGD,50,0.9792,0.08326801372691989
0.98646665,200,0.2,50,softmax,0.01,0.04161354681632171,categorical_crossentropy,SGD,50,0.98,0.08056033715605736
0.9851,200,0.2,50,softmax,0.01,0.04641414387151599,categorical_crossentropy,SGD,50,0.9791,0.07253495858982205
0.9860333,200,0.2,50,softmax,0.01,0.04422165251492212,categorical_crossentropy,SGD,50,0.9793,0.08348315671086311
0.9863,200,0.2,50,softmax,0.01,0.044049322078935804,categorical_crossentropy,SGD,50,0.9802,0.07827378179877996
0.98501664,200,0.2,50,softmax,0.01,0.04570846046165874,categorical_crossentropy,SGD,50,0.9814,0.09660881631076336
0.98575,200,0.2,50,softmax,0.01,0.045931940631320084,categorical_crossentropy,SGD,50,0.9811,0.07106893070042132
0.9795833,200,0.3,50,softmax,0.01,0.06401603171601891,categorical_crossentropy,SGD,50,0.9797,0.07226992392912507
0.9801,200,0.3,50,softmax,0.01,0.0633893638368075,categorical_crossentropy,SGD,50,0.9777,0.07692466646432877
0.9801667,200,0.3,50,softmax,0.01,0.06470875293792536,categorical_crossentropy,SGD,50,0.9811,0.07375749159604311
0.98011667,200,0.3,50,softmax,0.01,0.06437485083704814,categorical_crossentropy,SGD,50,0.9802,0.07760742781683802
0.9793,200,0.3,50,softmax,0.01,0.06785040681716055,categorical_crossentropy,SGD,50,0.9822,0.06683995947241783
0.9798833,200,0.3,50,softmax,0.01,0.0661802954847614,categorical_crossentropy,SGD,50,0.9784,0.07180022690445184
0.97933334,200,0.3,50,softmax,0.01,0.06478471490244071,categorical_crossentropy,SGD,50,0.9822,0.06830811662599444
0.97955,200,0.3,50,softmax,0.01,0.06515367767152687,categorical_crossentropy,SGD,50,0.9791,0.07876872951164841
0.9812666999999999,200,0.3,50,softmax,0.01,0.0616405406811585,categorical_crossentropy,SGD,50,0.9753,0.08078091498464346
0.9794666999999999,200,0.3,50,softmax,0.01,0.064603846569856,categorical_crossentropy,SGD,50,0.9811,0.0663167948834598
0.98646665,300,0.2,50,softmax,0.01,0.040559053865727036,categorical_crossentropy,SGD,50,0.9811,0.0714589385688305
0.98635,300,0.2,50,softmax,0.01,0.04238139593973756,categorical_crossentropy,SGD,50,0.9812,0.08142181023955346
0.98536664,300,0.2,50,softmax,0.01,0.044989326340146366,categorical_crossentropy,SGD,50,0.9779,0.08293072099797427
0.9860167,300,0.2,50,softmax,0.01,0.04337945427279919,categorical_crossentropy,SGD,50,0.9802,0.0820224284939468
0.98688334,300,0.2,50,softmax,0.01,0.03948841721750796,categorical_crossentropy,SGD,50,0.9806,0.07653391312807799
0.98581666,300,0.2,50,softmax,0.01,0.04306616267189384,categorical_crossentropy,SGD,50,0.9801,0.07721323694335297
0.98616666,300,0.2,50,softmax,0.01,0.04363133367616683,categorical_crossentropy,SGD,50,0.9759,0.08789171021431684
0.98578334,300,0.2,50,softmax,0.01,0.04323149388190359,categorical_crossentropy,SGD,50,0.9792,0.07735335816629231
0.98651665,300,0.2,50,softmax,0.01,0.040915060015395285,categorical_crossentropy,SGD,50,0.9802,0.07566137023270131
0.98698336,300,0.2,50,softmax,0.01,0.040214904025197035,categorical_crossentropy,SGD,50,0.981,0.07594095554202795
0.9803333000000001,300,0.3,50,softmax,0.01,0.06265414000954479,categorical_crossentropy,SGD,50,0.9804,0.07050299480557441
0.97955,300,0.3,50,softmax,0.01,0.06587448487058283,categorical_crossentropy,SGD,50,0.9777,0.06842251352965832
0.9808,300,0.3,50,softmax,0.01,0.059597921213135126,categorical_crossentropy,SGD,50,0.9804,0.06776943765580654
0.98135,300,0.3,50,softmax,0.01,0.0596506829187274,categorical_crossentropy,SGD,50,0.9805,0.07124005071818829
0.98081666,300,0.3,50,softmax,0.01,0.060542828179895876,categorical_crossentropy,SGD,50,0.9818,0.06224514519795776
0.98041666,300,0.3,50,softmax,0.01,0.061424682550132274,categorical_crossentropy,SGD,50,0.9802,0.07516778970137239
0.9809167,300,0.3,50,softmax,0.01,0.05959460257552565,categorical_crossentropy,SGD,50,0.9808,0.06692898645997047
0.98001665,300,0.3,50,softmax,0.01,0.06312209820840507,categorical_crossentropy,SGD,50,0.9812,0.06303416628390551
0.98006666,300,0.3,50,softmax,0.01,0.06389994980301708,categorical_crossentropy,SGD,50,0.9799,0.0747867788001895
0.98045,300,0.3,50,softmax,0.01,0.0621477839211002,categorical_crossentropy,SGD,50,0.9805,0.07360895413905383
0.98648334,200,0.1,50,softmax,,0.04249607011986276,categorical_crossentropy,SGD,50,0.9771,0.09345736911520362
0.99083334,200,0.1,100,softmax,,0.025602783154463397,categorical_crossentropy,SGD,100,0.9803,0.09962946666404604
0.9789,200,0.2,50,softmax,,0.06558226464937131,categorical_crossentropy,SGD,50,0.9777,0.08352817624807357
0.9865,200,0.2,100,softmax,,0.04180315265742441,categorical_crossentropy,SGD,100,0.9812,0.07634796702302993
0.97625,200,0.3,50,softmax,,0.07596598360687494,categorical_crossentropy,SGD,50,0.9766,0.07814799737185239
0.9813,200,0.3,100,softmax,,0.058609395545596875,categorical_crossentropy,SGD,100,0.9815,0.06351530632004143
0.98575,200,0.2,50,softmax,0.01,0.045246782752995686,categorical_crossentropy,SGD,50,0.9791,0.0785552798397839
0.98606664,200,0.2,50,softmax,0.01,0.04556865892993907,categorical_crossentropy,SGD,50,0.9838,0.06801859110593796
0.9852167,200,0.2,50,softmax,0.01,0.04655816158279777,categorical_crossentropy,SGD,50,0.9788,0.09632364094257356
0.9859833,200,0.2,50,softmax,0.01,0.04402983942224334,categorical_crossentropy,SGD,50,0.9808,0.0797706557624042
0.9853166999999999,200,0.2,50,softmax,0.01,0.04546621185106536,categorical_crossentropy,SGD,50,0.9814,0.08647316452115775
0.98076665,100,0.2,50,softmax,0.01,0.060665556091310774,categorical_crossentropy,SGD,50,0.9732,0.09404641347937286
0.98073334,200,0.3,50,softmax,0.01,0.06263757481239736,categorical_crossentropy,SGD,50,0.9802,0.06744662882760168
0.9793,200,0.3,50,softmax,0.01,0.06543971899275977,categorical_crossentropy,SGD,50,0.9767,0.07667734276503324
0.97796667,200,0.3,50,softmax,0.01,0.0684465618338436,categorical_crossentropy,SGD,50,0.9811,0.07061918511986733
0.9795166999999999,200,0.3,50,softmax,0.01,0.06427540171891451,categorical_crossentropy,SGD,50,0.983,0.06563711177557707
0.97961664,200,0.3,50,softmax,0.01,0.06533504941811165,categorical_crossentropy,SGD,50,0.9812,0.07104485742747782
0.9953833000000001,64,,20,softmax,,0.01548461113002704,categorical_crossentropy,Adam,20,0.968,0.19252736974950216
1.0,46,,100,softmax,,4.0539542599912435e-06,categorical_crossentropy,SGD,100,0.9773,0.4451019162685628
0.99903333,88,,100,softmax,,0.004394728260257338,categorical_crossentropy,Adam,100,0.9688,0.4143161450921604
0.9970667,40,,50,softmax,,0.013500642921541895,categorical_crossentropy,Adam,50,0.968,0.3045248631831036
0.9973,46,,100,softmax,,0.020461595854841082,categorical_crossentropy,Adam,100,0.9691,0.34682560659304296
0.9984,58,,100,softmax,,0.0072192902860089316,categorical_crossentropy,Adam,100,0.9672,0.3216906657859813
0.99805,76,,50,softmax,,0.009027617962703212,categorical_crossentropy,Adam,50,0.9684,0.28142381632625035
1.0,76,,100,softmax,,1.9051916586324656e-05,categorical_crossentropy,SGD,100,0.9753,0.4208942713400989
0.99688333,70,,80,softmax,,0.01816077118466486,categorical_crossentropy,Adam,80,0.9694,0.33515336506246923
0.9979,255,,50,softmax,,0.008716631141422113,categorical_crossentropy,Adam,50,0.9718,0.23874058271484402
0.99801666,451,,50,softmax,,0.006677138354627217,categorical_crossentropy,Adam,50,0.9695,0.24537288946323094
0.9722833000000001,402,,20,softmax,,0.09157422299832106,categorical_crossentropy,SGD,20,0.9601,0.13062927426807586
0.99371666,304,,20,softmax,,0.022330682351238404,categorical_crossentropy,Adam,20,0.9687,0.2385711937555112
0.99733335,50,,50,softmax,,0.010224858729420564,categorical_crossentropy,Adam,50,0.9706,0.3333751504528487
0.99701667,50,,50,softmax,,0.010631713655673884,categorical_crossentropy,SGD,50,0.9743,0.2182655880423291
0.9991,100,,50,softmax,,0.003454390879419028,categorical_crossentropy,Adam,50,0.9743,0.3151193249761335
0.99591666,100,,50,softmax,,0.013668612174290804,categorical_crossentropy,SGD,50,0.9722,0.2201423944362104
0.9984666999999999,200,,50,softmax,,0.005109466235280706,categorical_crossentropy,Adam,50,0.9721,0.2805566259026155
0.99395,200,,50,softmax,,0.01899327561608516,categorical_crossentropy,SGD,50,0.9734,0.1764276406011777
0.9981,400,,50,softmax,,0.0061536237351053095,categorical_crossentropy,Adam,50,0.9708,0.32358921378850936
0.98885,400,,50,softmax,,0.036445991806685916,categorical_crossentropy,SGD,50,0.9733,0.11890787353739142
0.98148334,100,0.2,50,softmax,0.01,0.06059841626459578,categorical_crossentropy,SGD,50,0.9792,0.09068495821673422
0.9795166999999999,100,0.2,50,softmax,0.01,0.06768046827288345,categorical_crossentropy,SGD,50,0.9766,0.08704668414313346
0.9816333,100,0.2,50,softmax,0.01,0.0604753030219581,categorical_crossentropy,SGD,50,0.9749,0.09165081731043756
0.9808,100,0.2,50,softmax,0.01,0.06186276397726032,categorical_crossentropy,SGD,50,0.977,0.080590661293827
0.9794666999999999,100,0.2,50,softmax,0.01,0.06745272951666266,categorical_crossentropy,SGD,50,0.9781,0.07598306607920678
0.9802166999999999,100,0.2,50,softmax,0.01,0.06616250913240948,categorical_crossentropy,SGD,50,0.9692,0.10562057503499092
0.9818,100,0.2,50,softmax,0.01,0.058946088026277724,categorical_crossentropy,SGD,50,0.9759,0.08204901021905242
0.98003334,100,0.2,50,softmax,0.01,0.06327085265152467,categorical_crossentropy,SGD,50,0.9748,0.0991304005868733
0.9821,100,0.2,50,softmax,0.01,0.058963250648036286,categorical_crossentropy,SGD,50,0.9777,0.10088045368145686
0.9803333000000001,100,0.2,50,softmax,0.01,0.0643323116284834,categorical_crossentropy,SGD,50,0.9784,0.07984380660112947
0.9744833,100,0.3,50,softmax,0.01,0.08536399006610736,categorical_crossentropy,SGD,50,0.9782,0.08309510053135455
0.9747,100,0.3,50,softmax,0.01,0.08600123093967947,categorical_crossentropy,SGD,50,0.9802,0.07363497008569539
0.97431666,100,0.3,50,softmax,0.01,0.08676610049170752,categorical_crossentropy,SGD,50,0.9747,0.07931884236633778
0.97253335,100,0.3,50,softmax,0.01,0.09089832847705112,categorical_crossentropy,SGD,50,0.9772,0.08172238771803678
0.97386664,100,0.3,50,softmax,0.01,0.08525655030272901,categorical_crossentropy,SGD,50,0.9721,0.0934597661718726
0.9730667,100,0.3,50,softmax,0.01,0.08728355083226537,categorical_crossentropy,SGD,50,0.9735,0.09609026314690708
0.9747,100,0.3,50,softmax,0.01,0.08111894214021352,categorical_crossentropy,SGD,50,0.9787,0.07399139598011971
0.9755,100,0.3,50,softmax,0.01,0.08289057330305999,categorical_crossentropy,SGD,50,0.9786,0.0759956691262778
0.97285,100,0.3,50,softmax,0.01,0.08908147095081707,categorical_crossentropy,SGD,50,0.9764,0.08100445173680783
0.97321665,100,0.3,50,softmax,0.01,0.09089686173091953,categorical_crossentropy,SGD,50,0.9746,0.0828310449840501
0.98683333,200,0.2,50,softmax,0.01,0.04194289937149733,categorical_crossentropy,SGD,50,0.9804,0.07494216714054346
0.9848167,200,0.2,50,softmax,0.01,0.04825162727696201,categorical_crossentropy,SGD,50,0.9804,0.07024656958878041
0.98508334,200,0.2,50,softmax,0.01,0.0469541735900566,categorical_crossentropy,SGD,50,0.9764,0.08719550855457782
0.9853,200,0.2,50,softmax,0.01,0.04492263526578123,categorical_crossentropy,SGD,50,0.9792,0.08671093937009572
0.9861,200,0.2,50,softmax,0.01,0.04378412015736103,categorical_crossentropy,SGD,50,0.9797,0.07689936073496938
